Tail Number,,,,,,,,,Hex Code Mode S
N102UC,PAO ,1980 ,CESSNA ,152 ,C-152/G ,$119 ,,YES,A00DE7
N152UF ,PAO ,1979 ,CESSNA ,152 ,C-152/U ,$114 ,,YES ,A0D365
N89359,,,,,,,,,AC53A2
N81034,,,,,,,,,AB0C3A
N3576J ,,,,,,,,,A40201
N2395V ,,,,,,,,,A22D0A
N343MM ,,,,,,,,,A3C992
N71CS ,,,,,,,,,A979F7
N596JR,,,,,,,,,A7B489
N443AC,,,,,,,,,A555C5
N383AC ,,,,,,,,,A46672
N3038B ,,,,,,,,,A32DE9
N732DS,,,,,,,,,A9D2D5
N5207Z,,,,,,,,,A68C53
N5207R ,,,,,,,,,A68C4B
N384ME ,SQL ,2000 ,CESSNA ,SKYHAWK SP ,C-172SP/G ,$161 ,,YES,A46B3E
N1004E ,,,,,,,,,A0079D
N669TW,,,,,,,,,A8D766
N610SP ,,,,,,,,,A7F05C
N52535 ,,,,,,,,,A69E60
N1322K,,,,,,,,,A08547
N194SP,,,,,,,,,A178A5
N54JA,,,,,,,,,A6D65C
N748SP,,,,,,,,,AA11E0
N296ME,,,,,,,,,A30CDC
N698JA,,,,,,,,,A94937
N850SP,,,,,,,,,ABA8F6
N787LF,,,,,,,,,AAAB87
N186CS,,,,,,,,,A15739
N698SP,,,,,,,,,A94A0C
N9045B,,,,,,,,,AC8111
N380SP,,,,,,,,,A45CE8
N1242N,PAO ,2006 ,CESSNA ,SKYHAWK SP ,C-172SP/G1 ,$179 ,G1000 ,NO ,A06539
N739TW,PAO ,2002 ,CESSNA ,SKYHAWK SP ,C-172SP/G ,$179 ,,NO ,A9EE38
N456DX,PAO ,2005 ,CESSNA ,SKYHAWK SP ,C-172SP/G1 ,$189 ,G1000 ,NO ,A588C7
N4195U,PAO ,1998 ,CESSNA ,SKYLANE ,C-182S/G ,$175 ,,NO ,A4F8A9
N14007,SQL ,2005 ,CESSNA ,SKYLANE ,C-182T/G1 ,$218 ,G1000 ,YES ,A0A528
N387CS,PAO ,2011 ,CESSNA ,SKYLANE ,C-182T/G1 ,$240 ,G1000/GFC700 ,YES ,A4758E
N2463S,PAO ,2005 ,CESSNA ,SKYLANE ,C-182T/G1 ,$224 ,G1000 ,YES ,A2491B
N65504,PAO ,2004 ,CESSNA ,SKYLANE ,C-182T/G1 ,$220 ,G1000 ,YES ,A8A1C2
N325MM,PAO ,2007 ,CESSNA ,SKYLANE ,C-182T/G1 ,$220 ,G1000/GFC700 ,YES ,A38202
N727VT,PAO ,1999 ,CESSNA ,SKYLANE ,C-182S/G ,$185 ,,YES ,A9BF7A
N53KP,PAO ,2005 ,CESSNA ,SKYLANE ,C182T/G ,$205 ,,YES ,A6AF03
N122DZ,PAO ,2004 ,CIRRUS ,SR20 ,SR20/G ,$193 ,Avidyne ,YES ,A05B83
N532PG,PAO ,2008 ,CIRRUS ,SR20 ,SR20/G ,$209 ,Avidyne ,YES ,A6B927
N512AM,PAO ,2016 ,CIRRUS ,SR20 ,SR20/G1 ,$295 ,G1000/GFC700 ,YES ,A668E9
N353CA,SQL ,2011 ,CIRRUS ,SR20 ,SR20/G1 ,$255 ,G1000/GFC700 ,YES ,A3F025
N45BV,PAO ,2004 ,CIRRUS ,SR22 ,SR22/G ,$300 ,Avidyne ,YES ,A56FF0
N934HP,SQL ,2016 ,CIRRUS ,SR22 ,SR22/G1 ,$395 ,G1000/GFC700 ,YES ,ACF542
N814AC,PAO ,1998 ,AM CHAMPION ,SUPER D. ,8KCAB/U ,$189 ,Chutes Incl. ,NO ,AB183B
N5EV,PAO ,2014 ,CIRRUS ,T-SR22 ,T-SR22G1 ,$395 ,G1000/GFC700 ,YES ,A635B6
N4352G,PAO ,1984 ,PIPER ,WARRIOR ,PA28-161/A ,$125 ,,YES ,A53856
